batch_id,test_id,varied_index,varied_value,input,original_output,manual_output,herbie_output,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T21:52:02,923,0,3.728561057323345e-24,"[3.728561057323345e-24, 1.0, 1.0, 1.0, 1.0]","[1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117]","[1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117]","[1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117, 1.3876939774560215e+117]",0.0,0.0,0.0
2026-06-17T21:52:02,924,0,7.582465679875071e-24,"[7.582465679875071e-24, 1.0, 1.0, 1.0, 1.0]","[3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115]","[3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115]","[3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115, 3.9897688355027165e+115]",0.0,0.0,0.0
2026-06-17T21:52:02,925,0,1.541983218259456e-23,"[1.541983218259456e-23, 1.0, 1.0, 1.0, 1.0]","[1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114]","[1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114]","[1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114, 1.147101278765418e+114]",0.0,0.0,0.0
2026-06-17T21:52:02,926,0,3.135803504794715e-23,"[3.135803504794715e-23, 1.0, 1.0, 1.0, 1.0]","[3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112]","[3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112]","[3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112, 3.2980390543841107e+112]",0.0,0.0,0.0
2026-06-17T21:52:02,927,0,6.377023760208176e-23,"[6.377023760208176e-23, 1.0, 1.0, 1.0, 1.0]","[9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110]","[9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110]","[9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110, 9.482215568575952e+110]",0.0,0.0,0.0
2026-06-17T21:52:02,928,0,1.2968424831492061e-22,"[1.2968424831492061e-22, 1.0, 1.0, 1.0, 1.0]","[2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109]","[2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109]","[2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109, 2.7262385498262335e+109]",0.0,0.0,0.0
2026-06-17T21:52:02,929,0,2.6372811037569306e-22,"[2.6372811037569306e-22, 1.0, 1.0, 1.0, 1.0]","[7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107]","[7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107]","[7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107, 7.838227866480415e+107]",0.0,0.0,0.0
2026-06-17T21:52:02,930,0,5.3632200599593495e-22,"[5.3632200599593495e-22, 1.0, 1.0, 1.0, 1.0]","[2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106]","[2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106]","[2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106, 2.253574475013883e+106]",0.0,0.0,0.0
2026-06-17T21:52:02,931,0,1.0906736248394134e-21,"[1.0906736248394134e-21, 1.0, 1.0, 1.0, 1.0]","[6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104]","[6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104]","[6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104, 6.479268019436032e+104]",0.0,0.0,0.0
2026-06-17T21:52:02,932,0,2.21801257942297e-21,"[2.21801257942297e-21, 1.0, 1.0, 1.0, 1.0]","[1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103]","[1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103]","[1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103, 1.862858961757985e+103]",0.0,0.0,0.0
