test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
43,3,-0.00062170902861638109,0,0,0,0,0,0,0,0,0
44,3,-0.00058281545812308426,0,0,0,0,0,0,0,0,0
45,3,-0.00054635503522148696,0,0,0,0,0,0,0,0,0
46,3,-0.00051217554433642264,0,0,0,0,0,0,0,0,0
47,3,-0.00048013429236534505,0,0,0,0,0,0,0,0,0
48,3,-0.00045009751296080398,0,0,0,0,0,0,0,0,0
49,3,-0.00042193980808050152,0,0,0,0,0,0,0,0,0
50,3,-0.0003955436244734701,0,0,0,0,0,0,0,0,0
51,3,-0.00037079876291681656,0,0,0,0,0,0,0,0,0
52,3,-0.00034760191815419694,0,0,0,0,0,0,0,0,0
53,3,-0.00032585624761532253,0,0,0,0,0,0,0,0,0
54,3,-0.00030547096711599651,0,0,0,0,0,0,0,0,0
55,3,-0.00028636097185081081,0,0,0,0,0,0,0,0,0
56,3,-0.00026844648109619634,0,0,0,0,0,0,0,0,0
57,3,-0.00025165270514053884,0,0,0,0,0,0,0,0,0
58,3,-0.00023590953305086294,0,0,0,0,0,0,0,0,0
59,3,-0.00022115123997254888,0,0,0,0,0,0,0,0,0
60,3,-0.00020731621274012278,0,0,0,0,0,0,0,0,0
61,3,-0.0001943466926536016,0,0,0,0,0,0,0,0,0
62,3,-0.00018218853434651667,0,0,0,0,0,0,0,0,0
63,3,-0.00017079097973894255,0,0,0,0,0,0,0,0,0
64,3,-0.00016010644613183138,0,0,0,0,0,0,0,0,0
65,3,-0.00015009032755797358,0,0,0,0,0,0,0,0,0
66,3,-0.00014070080856026833,0,0,0,0,0,0,0,0,0
67,3,-0.00013189868961986669,0,0,0,0,0,0,0,0,0
68,3,-0.00012364722350537152,0,0,0,0,0,0,0,0,0
69,3,-0.0001159119618598884,0,0,0,0,0,0,0,0,0
70,3,-0.00010866061138545946,0,0,0,0,0,0,0,0,0
71,3,-0.00010186289902446874,0,0,0,0,0,0,0,0,0
72,3,-9.5490445575180711e-05,0,0,0,0,0,0,0,0,0
73,3,-8.9516647213782813e-05,0,0,0,0,0,0,0,0,0
74,3,-8.3916564428301583e-05,0,0,0,0,0,0,0,0,0
75,3,-7.8666817900715751e-05,0,0,0,0,0,0,0,0,0
76,3,-7.3745490902595354e-05,0,0,0,0,0,0,0,0,0
77,3,-6.9132037796781304e-05,0,0,0,0,0,0,0,0,0
78,3,-6.4807198263119631e-05,0,0,0,0,0,0,0,0,0
79,3,-6.0752916890160602e-05,0,0,0,0,0,0,0,0,0
80,3,-5.6952267797128256e-05,0,0,0,0,0,0,0,0,0
81,3,-5.3389383971473479e-05,0,0,0,0,0,0,0,0,0
82,3,-5.0049391027009432e-05,0,0,0,0,0,0,0,0,0
83,3,-4.6918345106077986e-05,0,0,0,0,0,0,0,0,0
84,3,-4.3983174666502204e-05,0,0,0,0,0,0,0,0,0
85,3,-4.1231625910297427e-05,0,0,0,0,0,0,0,0,0
86,3,-3.8652211626312505e-05,0,0,0,0,0,0,0,0,0
87,3,-3.6234163233231462e-05,0,0,0,0,0,0,0,0,0
88,3,-3.3967385822722006e-05,0,0,0,0,0,0,0,0,0
89,3,-3.1842416015046425e-05,0,0,0,0,0,0,0,0,0
90,3,-2.9850382451187287e-05,0,0,0,0,0,0,0,0,0
91,3,-2.7982968756551108e-05,0,0,0,0,0,0,0,0,0
92,3,-2.6232378821631144e-05,0,0,0,0,0,0,0,0,0
93,3,-2.4591304254680426e-05,0,0,0,0,0,0,0,0,0
94,3,-2.3052893870517036e-05,0,0,0,0,0,0,0,0,0
95,3,-2.1610725088083706e-05,0,0,0,0,0,0,0,0,0
96,3,-2.0258777117350154e-05,0,0,0,0,0,0,0,0,0
97,3,-1.8991405823619309e-05,0,0,0,0,0,0,0,0,0
98,3,-1.7803320164301086e-05,0,0,0,0,0,0,0,0,0
99,3,-1.6689560099780231e-05,0,0,0,0,0,0,0,0,0
100,3,-1.5645475886160932e-05,0,0,0,0,0,0,0,0,0
101,3,-1.4666708663439637e-05,0,0,0,0,0,0,0,0,0
102,3,-1.3749172258064187e-05,0,0,0,0,0,0,0,0,0
103,3,-1.2889036123908904e-05,0,0,0,0,0,0,0,0,0
104,3,-1.2082709350447729e-05,0,0,0,0,0,0,0,0,0
105,3,-1.1326825671361531e-05,0,0,0,0,0,0,0,0,0
106,3,-1.0618229410993822e-05,0,0,0,0,0,0,0,0,0
107,3,-9.9539623099842051e-06,0,0,0,0,0,0,0,0,0
108,3,-9.3312511750782416e-06,0,0,0,0,0,0,0,0,0
109,3,-8.7474963015544031e-06,0,0,0,0,0,0,0,0,0
110,3,-8.2002606199341059e-06,0,0,0,0,0,0,0,0,0
111,3,-7.6872595216637275e-06,0,0,0,0,0,0,0,0,0
112,3,-7.2063513212930396e-06,0,0,0,0,0,0,0,0,0
113,3,-6.7555283153316238e-06,0,0,0,0,0,0,0,0,0
114,3,-6.3329084004551124e-06,0,0,0,0,0,0,0,0,0
115,3,-5.9367272160691144e-06,0,0,0,0,0,0,0,0,0
116,3,-5.5653307784276317e-06,0,0,0,0,0,0,0,0,0
117,3,-5.2171685755543456e-06,0,0,0,0,0,0,0,0,0
118,3,-4.8907870941395832e-06,0,0,0,0,0,0,0,0,0
119,3,-4.5848237513890829e-06,0,0,0,0,0,0,0,0,0
120,3,-4.2980012064907943e-06,0,0,0,0,0,0,0,0,0
121,3,-4.0291220279513413e-06,0,0,0,0,0,0,0,0,0
122,3,-3.7770636945393563e-06,0,0,0,0,0,0,0,0,0
123,3,-3.5407739089652688e-06,0,0,0,0,0,0,0,0,0
124,3,-3.3192662047331836e-06,0,0,0,0,0,0,0,0,0
125,3,-3.1116158278243523e-06,0,0,0,0,0,0,0,0,0
126,3,-2.9169558760187946e-06,0,0,0,0,0,0,0,0,0
127,3,-2.734473679737577e-06,0,0,0,0,0,0,0,0,0
128,3,-2.5634074092965081e-06,0,0,0,0,0,0,0,0,0
129,3,-2.4030428944069676e-06,0,0,0,0,0,0,0,0,0
130,3,-2.2527106426459773e-06,0,0,0,0,0,0,0,0,0
131,3,-2.1117830444482381e-06,0,0,0,0,0,0,0,0,0
132,3,-1.9796717529513327e-06,0,0,0,0,0,0,0,0,0
133,3,-1.8558252277555159e-06,0,0,0,0,0,0,0,0,0
134,3,-1.7397264323437969e-06,0,0,0,0,0,0,0,0,0
135,3,-1.6308906755493321e-06,0,0,0,0,0,0,0,0,0
136,3,-1.5288635880587281e-06,0,0,0,0,0,0,0,0,0
137,3,-1.4332192255035703e-06,0,0,0,0,0,0,0,0,0
138,3,-1.3435582902208256e-06,0,0,0,0,0,0,0,0,0
139,3,-1.2595064642583562e-06,0,0,0,0,0,0,0,0,0
140,3,-1.180712846666187e-06,0,0,0,0,0,0,0,0,0
141,3,-1.1068484885494121e-06,0,0,0,0,0,0,0,0,0
142,3,-1.0376050197669103e-06,0,0,0,0,0,0,0,0,0
143,3,-9.72693361542615e-07,0,0,0,0,0,0,0,0,0
144,3,-9.1184251961465705e-07,0,0,0,0,0,0,0,0,0
145,3,-8.5479845288403987e-07,0,0,0,0,0,0,0,0,0
146,3,-8.0132301283968684e-07,0,0,0,0,0,0,0,0,0
147,3,-7.5119294933209393e-07,0,0,0,0,0,0,0,0,0
